,dates,outcome.winner,teams,matchid
0,2017-01-13,Australia,Australia,1000887
1,2017-01-13,Australia,Pakistan,1000887
2,2017-01-15,Pakistan,Australia,1000889
3,2017-01-15,Pakistan,Pakistan,1000889
4,2017-01-19,Australia,Australia,1000891
5,2017-01-19,Australia,Pakistan,1000891
6,2017-01-22,Australia,Australia,1000893
7,2017-01-22,Australia,Pakistan,1000893
8,2017-01-26,Australia,Australia,1000895
9,2017-01-26,Australia,Pakistan,1000895
10,2016-12-04,Australia,Australia,1001371
11,2016-12-04,Australia,New Zealand,1001371
12,2016-12-06,Australia,Australia,1001373
13,2016-12-06,Australia,New Zealand,1001373
14,2016-12-09,Australia,Australia,1001375
15,2016-12-09,Australia,New Zealand,1001375
22,2016-09-10,Scotland,Scotland,1004285
23,2016-09-10,Scotland,Hong Kong,1004285
24,2016-06-11,India,Zimbabwe,1007649
25,2016-06-11,India,India,1007649
26,2016-06-13,India,Zimbabwe,1007651
27,2016-06-13,India,India,1007651
28,2016-06-15,India,Zimbabwe,1007653
29,2016-06-15,India,India,1007653
30,2016-12-26,New Zealand,New Zealand,1019973
31,2016-12-26,New Zealand,Bangladesh,1019973
32,2016-12-29,New Zealand,New Zealand,1019975
33,2016-12-29,New Zealand,Bangladesh,1019975
34,2016-12-31,New Zealand,New Zealand,1019977
35,2016-12-31,New Zealand,Bangladesh,1019977
36,2017-01-30,New Zealand,New Zealand,1020013
37,2017-01-30,New Zealand,Australia,1020013
38,2017-02-05,New Zealand,New Zealand,1020017
39,2017-02-05,New Zealand,Australia,1020017
40,2017-02-19,South Africa,New Zealand,1020031
41,2017-02-19,South Africa,South Africa,1020031
42,2017-02-22,New Zealand,New Zealand,1020033
43,2017-02-22,New Zealand,South Africa,1020033
44,2017-02-25,South Africa,New Zealand,1020035
45,2017-02-25,South Africa,South Africa,1020035
46,2017-03-01,New Zealand,New Zealand,1020037
47,2017-03-01,New Zealand,South Africa,1020037
48,2017-03-04,South Africa,New Zealand,1020039
49,2017-03-04,South Africa,South Africa,1020039
50,2017-06-01,England,England,1022347
51,2017-06-01,England,Bangladesh,1022347
54,2017-06-03,South Africa,South Africa,1022351
55,2017-06-03,South Africa,Sri Lanka,1022351
60,2017-06-06,England,England,1022357
61,2017-06-06,England,New Zealand,1022357
64,2017-06-08,Sri Lanka,India,1022361
65,2017-06-08,Sri Lanka,Sri Lanka,1022361
66,2017-06-09,Bangladesh,Bangladesh,1022363
67,2017-06-09,Bangladesh,New Zealand,1022363
70,2017-06-11,India,India,1022367
71,2017-06-11,India,South Africa,1022367
72,2017-06-12,Pakistan,Pakistan,1022369
73,2017-06-12,Pakistan,Sri Lanka,1022369
74,2017-06-14,Pakistan,England,1022371
75,2017-06-14,Pakistan,Pakistan,1022371
76,2017-06-15,India,Bangladesh,1022373
77,2017-06-15,India,India,1022373
78,2017-06-18,Pakistan,India,1022375
79,2017-06-18,Pakistan,Pakistan,1022375
80,2016-11-04,Hong Kong,Hong Kong,1026847
81,2016-11-04,Hong Kong,Papua New Guinea,1026847
82,2016-11-06,Papua New Guinea,Hong Kong,1026849
83,2016-11-06,Papua New Guinea,Papua New Guinea,1026849
86,2017-03-03,England,West Indies,1027315
87,2017-03-03,England,England,1027315
88,2017-03-05,England,West Indies,1027317
89,2017-03-05,England,England,1027317
90,2017-03-09,England,West Indies,1027319
91,2017-03-09,England,England,1027319
92,2017-05-05,England,England,1029001
93,2017-05-05,England,Ireland,1029001
94,2017-05-07,England,England,1029003
95,2017-05-07,England,Ireland,1029003
96,2016-10-07,England,Bangladesh,1029819
97,2016-10-07,England,England,1029819
98,2016-10-09,Bangladesh,Bangladesh,1029821
99,2016-10-09,Bangladesh,England,1029821
100,2016-10-12,England,Bangladesh,1029823
101,2016-10-12,England,England,1029823
102,2016-10-16,India,India,1030219
103,2016-10-16,India,New Zealand,1030219
104,2016-10-20,New Zealand,India,1030221
105,2016-10-20,New Zealand,New Zealand,1030221
106,2016-10-23,India,India,1030223
107,2016-10-23,India,New Zealand,1030223
108,2016-10-26,New Zealand,India,1030225
109,2016-10-26,New Zealand,New Zealand,1030225
110,2016-10-29,India,India,1030227
111,2016-10-29,India,New Zealand,1030227
112,2017-05-24,England,England,1031425
113,2017-05-24,England,South Africa,1031425
114,2017-05-27,England,England,1031427
115,2017-05-27,England,South Africa,1031427
116,2017-05-29,South Africa,England,1031429
117,2017-05-29,South Africa,South Africa,1031429
118,2017-09-19,England,West Indies,1031667
119,2017-09-19,England,England,1031667
122,2017-09-24,England,England,1031671
123,2017-09-24,England,West Indies,1031671
126,2017-09-29,England,West Indies,1031675
127,2017-09-29,England,England,1031675
130,2017-05-14,New Zealand,Ireland,1033363
131,2017-05-14,New Zealand,New Zealand,1033363
132,2017-05-17,New Zealand,Bangladesh,1033365
